X,Y,T,A
486481.4616018623,4419211.120123855,269.0,269.0
486351.07254266925,4418534.617774041,270.0,270.0
486565.44272732263,4418995.047702096,270.0,270.0
486711.8009149723,4418930.900852069,269.0,269.0
486348.73543266486,4418946.80819097,269.0,269.0
486711.8009149723,4418930.900852069,273.0,273.0
486340.1637006453,4419187.662290451,274.0,274.0
486490.1772017364,4419260.981453783,277.0,277.0
486467.7245964571,4419302.238674281,277.0,277.0
486253.14620320493,4418380.461520269,279.0,279.0
486656.18250136444,4418896.269707485,280.0,280.0
486844.0227027004,4418804.351871264,288.0,288.0
486734.75951828586,4419091.893248206,285.0,285.0
486496.97860261734,4418771.693266279,289.0,289.0
486350.35456267535,4419002.477807653,290.0,290.0
486568.9631135631,4418768.532604272,285.0,285.0
486497.8178156286,4418782.009107448,285.0,285.0
486472.8618564879,4418633.676355147,281.0,281.0
486340.1637006453,4419187.662290451,283.0,283.0
486531.2776114043,4418991.252061032,284.0,284.0
486698.01915606693,4418798.721355498,284.0,284.0
486528.33443782816,4419003.274603449,284.0,284.0
486340.1637006453,4419187.662290451,284.0,284.0
486253.14620320493,4418380.461520269,284.0,284.0
486822.40018807235,4418832.999890518,291.0,291.0
486481.4616018623,4419211.120123855,291.0,291.0
486545.6958068018,4418786.574866692,291.0,291.0
486702.76628203376,4418891.242811163,285.0,285.0
486472.8618564879,4418633.676355147,291.0,291.0
486356.65640438185,4419371.676183079,294.0,294.0
486560.1806285004,4418873.289087949,286.0,286.0
486502.26585344697,4418796.134117197,286.0,286.0
486568.9631135631,4418768.532604272,286.0,286.0
486253.14620320493,4418380.461520269,286.0,286.0
486253.14620320493,4418380.461520269,286.0,286.0
486411.83015289437,4419033.773796774,286.0,286.0
486495.4595406663,4419281.906524042,298.0,298.0
486634.14683337364,4419311.78504466,298.0,298.0
486702.76628203376,4418891.242811163,287.0,287.0
486340.1637006453,4419187.662290451,303.0,303.0
486461.650078963,4419266.815574422,304.0,304.0
486423.79815547814,4418857.432955839,300.0,300.0
486192.25061123434,4419119.778321556,305.0,305.0
487164.7984237355,4418954.6028246,305.0,305.0
486719.15692992654,4418973.857904441,306.0,306.0
486809.0830029654,4419293.660277201,306.0,306.0
486436.8474674876,4418962.982487058,313.0,313.0
486098.93456265813,4418565.887644721,313.0,313.0
486456.4663832517,4419211.989404702,307.0,307.0
486361.60108679207,4419370.834546486,319.0,319.0
