spec,nt_window,a_NT_mean,a_T_mean,beta_mean,beta_lo,beta_hi,sigma_R_mean,sigma_T_mean,n_cbg,n_divergences
sl,2021-2025,-1.0765246,-5.264425,0.57906437,0.46984932,0.6860331,0.6200318,1.4876457,1335,0
sl_pre24,2021-2023,-1.3905044,-5.249407,0.58772045,0.4781108,0.72307533,0.63976115,1.479839,1335,0
