OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
60,Poquessing Creek Park 1,Poquessing Creek Park,Y,Poquessing Creek Park,Poquessing Creek Park 1, ,2795,1247 STEVENS RD,19116,,1217 STEVENS RD,22.85302344,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,Y,Y,N,,158385.77734375,3092.1362301475
61,Ralph R Rizzo Sr Ice Rink,Ralph R Rizzo Sr Ice Rink,N,"Ralph R. Rizzo, Sr. Ice Rink",Rizzo,,1407,1001 S FRONT ST,19147,1201-99 S FRONT ST,"1101 S FRONT ST;1201-99 S FRONT ST",1.975853,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,PPR has a lease agreement with PennDOT.,13615.36328125,516.900862986807
62,Morris Park,Morris Park,N,Morris Park,Morris Park, ,1283,6600 SHERWOOD RD,19151,,68th St & Lansdowne Ave,119.08908588,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,7,8,4,19,Y,Y,N,,821739.74609375,6624.40620279635
63,Jim Junod Recreation Center,Jim Junod Recreation Center,N,Jim Junod Recreation Center,Junod,,1883,12770 DUNKS FERRY RD,19154,3102 MECHANICSVILLE RD,"12800 DUNKS FERRY RD;12776 DUNKS FERRY RD;12754 DUNKSFERRY RD;3102 MECHANICSVILLE RD;Dunksferry & Mechanicsville",23.51589184,RECREATION_CENTER,RECREATION_SITE,1,1,10,8,Y,Y,Y,,162859.1875,1674.55138451237
64,Juniata Golf Club,Tacony Creek Park,Y,Juniata Golf Club,Juniata Golf Club, ,348,1391 E CAYUGA ST,19124,,"4400 M ST;Castor & Cayuga;1363 E Cayuga ST",91.92960299,GOLF_FACILITY,ATHLETIC_GOLF,5,3,7,"15;24",Y,Y,N,,635043.5,4652.88776118183
65,Walton Run,Walton Run,N,,Walton Run, ,2790,11200 ACADEMY RD,19154,,11000 ACADEMY RD,90.7082626,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,2,1,10,8,Y,Y,N,,627888.7109375,6253.61003671829
66,John F Byrne Golf Club,John F Byrne Golf Club,N,John F. Byrne Golf Club,Byrne Golf,"Holmesburg Golf Course;Poquessing Golf Course",547,9550 LEON ST,19114,9550 LEON ST,Eden & Leon,85.74746206,GOLF_FACILITY,ATHLETIC_GOLF,2,1,6,8,Y,Y,N,1972 Golf Course transferred to Fairmount Park Commission from the City.,593109.26953125,4176.82510982403
67,Walnut Lane Golf Club,Wissahickon Valley Park,Y,Walnut Lane Golf Club,Walnut Ln Golf, ,1656,5819 MAGDALENA ST,19128,"5801 HENRY AVE;639 WALNUT LN;700 WALNUT LN","5801 HENRY AVE;639 WALNUT LN;700 WALNUT LN;800 WALNUT LN",67.27524209,GOLF_FACILITY,ATHLETIC_GOLF,3,4,4,5,Y,Y,N,Golf course created between 1934-1940.,464904.140625,5827.26406745969
68,Bartrams Garden,Bartrams Garden,N,Bartram's Garden National Historic Landmark,Bartrams Garden,Bartram's Homestead,476,5400 LINDBERGH BLVD,19143,2901 S 56TH ST,"5443 Bartram Rd, 57th & Schuylkill River; 2901 S 56TH ST;5405 Bartram Dr",49.90831811,EVENT_VENUE,HISTORIC_SITE,10,8,3,12,Y,Y,N,,343904.54296875,3538.67951407653
69,Kelly Pool,West Fairmount Park,Y,,Kelly Pool,J.B. Kelly Pool,1278,4200 LANSDOWNE DR,19131,,42nd & Parkside,1.3284154,POOL_SITE,POOL,7,5,4,16,Y,Y,Y,,9166.41796875,397.378588084625
70,Joseph C Fluehr Memorial Park,Joseph C Fluehr Memorial Park,N,Joseph C. Fluehr Memorial Park,Fluehr,Eden Hallmount Park,188,4800 GRANT AVE,19114,4800 GRANT AVE,4200 Grant Ave,65.3787993,ATHLETIC_SITE,MISC_PARK,2,1,6,8,Y,Y,N,Condemned portion (triangle) behind Eden added to park in 1979.,452133.02734375,3072.71170021824
71,Philadelphia Zoo,West Fairmount Park,Y,,Zoo,Philadelphia Zoological Gardens,504,3400 W GIRARD AVE,19104,3400 W GIRARD AVE,,55.03027349,EVENT_VENUE,ZOO,7,5,"3;4",16,N,Y,N,Adjusted to include outer curbline of Zoological St but not RR retaining wall. ,379641.59375,4266.56318937365
