OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
112,Thomas E Jardel Memorial Field,Thomas E Jardel Memorial Field,N,Thomas E. Jardel Memorial Field,Jardel,Burholme Recreation Center,1879,1400 COTTMAN AVE,19111,1400 COTTMAN AVE,"Cottman & Pennway, 1432 COTTMAN AVE",10.77963065,RECREATION_CENTER,RECREATION_SITE,1,1,9,2,Y,Y,Y,,74549.91015625,1107.5619986934
113,Carroll Park,Carroll Park,N,,Carroll, ,374,5801 W GIRARD AVE,19131,5801 W GIRARD AVE,58th & Girard,5.63618341,PLAYGROUND_SITE,SQUARE_PLAZA,7,8,4,19,Y,Y,N,,38881.91015625,784.14080256605
114,Daniel Boyle Memorial Recreation Center,Daniel Boyle Memorial Recreation Center,N,Daniel Boyle Memorial Recreation Center,Boyle Rec,Somerton Playground,1843,13045 KELVIN AVE,19116,13024 STEVENS RD,"13024 STEVENS RD;13235 KELVIN AVE",10.68965923,RECREATION_CENTER,RECREATION_SITE,1,1,10,7,Y,Y,Y,,74072.8515625,1183.72158636924
115,Stenton Park,Stenton Park,N,Stenton Park,Stenton,,1958,1699 W COURTLAND ST,19140,4600 N 16TH ST,"16th & Wyoming;4600 N 16TH ST;4601 N 18TH ST",14.76482079,RECREATION_CENTER,RECREATION_SITE,4,4,8,35,Y,Y,Y,City owns all land. Mansion Campus is long term lease to National Society of Colonial Dames of America (1910).,102017.2890625,1257.8346692662
116,Thomas Holme School Playground,Thomas Holme School Playground,N,Thomas Holme School Playground,Holme School,,2939,3280 HOLME AVE,19114,9152 ACADEMY RD,"9152 ACADEMY RD;9125 ACADEMY RD",10.12771034,RECREATION_CENTER,RECREATION_SITE,2,1,6,8,Y,Y,N,School District - Thomas Holme Elementary School,70042.5234375,1148.20054734219
117,Charles A Papa Playground,Morris Park,Y,Charles A. Papa Playground,Papa,,1929,6839 LANSDOWNE AVE,19151,,68th St & Lansdowne Ave,8.53013415,RECREATION_CENTER,RECREATION_SITE,7,8,4,19,Y,Y,Y,There is no parcel here,58852.609375,1471.30273420529
118,Water Tower Recreation Center,Water Tower Recreation Center,N,Water Tower Recreation Center,Water Tower,,1979,267 E HARTWELL LN,19118,"209-99 E HARTWELL LN;8030-40 WINSTON RD","209-99 E HARTWELL LN;8030-40 WINSTON RD;245 E HARTWELL LN;8299 ARDLEIGH ST;Hartwell & Ardleigh",9.54956974,RECREATION_CENTER,RECREATION_SITE,3,4,8,14,Y,Y,Y,Tennis Courts were developed in 1958.,66081.11328125,1538.06781339223
119,Thomas Hart Park,Thomas Hart Park,N,Thomas Hart Park,Hart,,578,1321 N 04TH ST,19122,1315-21 N 04TH ST,1315-21 N 04TH ST,0.2155337,PLAYGROUND_SITE,MISC_PARK,9,2,5,26,Y,Y,N,,1486.91015625,175.494639265274
120,James J Ramp Playground,James J Ramp Playground,N,James J. Ramp Playground,Ramp,"Holmesburg Recreation Center; Holmesburg War Veterans Memorial Playground",1938,3340 SOLLY AVE,19136,"3300 SOLLY AVE, 3340 SOLLY AVE","3300-40 SOLLY AVE, Solly & Rowland;3300 SOLLY AVE, 3350 SOLLY AVE",9.04397754,RECREATION_CENTER,RECREATION_SITE,2,1,6,8,Y,Y,Y,,62530.88671875,1161.40663957834
121,Pepper School Playground,Pepper School Playground,N,,Pepper School,,2799,2801 S 84TH ST,19153,2801 S 84TH ST,8400 LYONS AVE,8.69419964,PLAYGROUND_SITE,MISC_PARK,10,8,2,12,Y,Y,N,,59848.04296875,983.158866262117
122,Elizabeth M Picariello Playground,Elizabeth M Picariello Playground,N,Elizabeth M. Picariello Playground,Picariello,"Liberty Bell Youth Organization;Sergeant Patrick C. McDonald Memorial Gymnasium;LaBrum School",1934,10815 CALERA RD,19154,"3325 RED LION RD;10851 CALERA RD","3325 RED LION RD;10801 CALERA RD;Red Lion & Calera;10851 CALERA RD",10.35795095,RECREATION_CENTER,RECREATION_SITE,2,1,10,8,Y,Y,Y,"Land under Gym is owned by the City.PPR leases land from School District; Athletic Field area to Liberty Bell Youth Organization. Part of the Labrum School Property.",71690.99609375,1251.6466846467
123,Reyburn Park,Reyburn Park,N,,Reyburn, ,2828,1950 W LEHIGH AVE,19132,"1950 W LEHIGH AVE, 2020-50 W LEHIGH AVE","2020-50 W LEHIGH AVE;21st & Lehigh",7.25306354,PLAYGROUND_SITE,MISC_PARK,8,6,5,22,Y,Y,N,,50070.71484375,1282.22427864758
124,Ronald Trumbette Playground,Ronald Trumbette Playground,N,,Trumbette, ,135,9050 TORRESDALE AVE,19136,"9000 TORRESDALE AVE, 9050 TORRESDALE AVE","9000 TORRESDALE AVE;Torresdale & Tolbut",8.46819384,PLAYGROUND_SITE,MISC_PARK,2,1,6,8,Y,Y,N,,58551.78515625,1012.06717073623
125,Seymour Tarken Recreation Center,Seymour Tarken Recreation Center,N,Seymour Tarken Recreation Center,Tarken,,1962,6350 FRONTENAC ST,19111,6250 FRONTENAC ST,"6250 FRONTENAC ST;6300 FRONTENAC ST;6320 FRONTENAC ST;6201 SUMMERDALE AVE;Frontenac & Levick",8.89483047,RECREATION_CENTER,RECREATION_SITE,1,1,9,2,Y,Y,Y,,61488.09375,1021.75045231218
126,33rd and Oxford Driving Range,East Fairmount Park,Y,,33rd and Oxford Range,"Strawberry Green Driving Range;33rd St Driving Range",1802,3300 RESERVOIR DR,19121,2500 SPRING GARDEN ST,"2500 SPRING GARDEN ST;33rd & Oxford;1500 N 33rd St",8.21639678,GOLF_FACILITY,ATHLETIC_GOLF,8,5,4,22,N,Y,N,Located in East Fairmount Park,56696.8984375,966.811313450993
127,Edward Houseman Playground,Edward Houseman Playground,N,Edward Houseman Playground,Houseman,,1875,900 E GODFREY AVE,19124,802 E GODFREY AVE,"802 E GODFREY AVE;5091 SUMMERDALE AVE;4979 SUMMERDALE AVE;4955 SUMMERDALE AVE;5151 SUMMERDALE AVE;Summerdale & Godfrey",8.66516115,RECREATION_CENTER,RECREATION_SITE,5,3,9,2,Y,Y,Y,,59879.3125,1111.89710680307
128,Samuel F Houston Playground,Wissahickon Valley Park,Y,Samuel F. Houston Playground,Houston,,1876,994 SEQUOIA RD,19128,8601 WISSAHICKON AVE,"8601 WISSAHICKON AVE;900 GRAKYN LA;999 GRAKYN LA;Grakyn & Wissahickon",6.20141897,RECREATION_CENTER,RECREATION_SITE,3,4,4,5,Y,Y,Y,,42904.671875,921.992533331832
129,Vernon Park,Vernon Park,N,,Vernon,"Black Writers Museum;Wister Mansion",632,5754 GERMANTOWN AVE,19144,5710-18 GERMANTOWN AVE,"5754 GERMANTOWN AVE;5818 GERMANTOWN AVE;5710-18 GERMANTOWN AVE;5805 GREENE ST;5801 GREENE ST;Germantown & Chelten",8.47444085,NEIGHBORHOOD_PARK,RECREATION_SITE,3,4,8,14,Y,Y,N,Vernon House leased.,58573.0859375,1067.54369727202
130,Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,"Haddington-Marshall L. Shepard, Sr. Recreation Center",Shepard,,1952,5700 HAVERFORD AVE,19131,5700 HAVERFORD AVE,57th & Haverford,8.21454581,RECREATION_CENTER,RECREATION_SITE,7,8,4,19,Y,Y,Y,,56662.39453125,979.852671063715
131,Penn Treaty Park,Penn Treaty Park,N,,Penn Treaty, ,317,1299 BEACH ST,19125,"1201-33 N DELAWARE AVE, 1227-37 BEACH ST, 1301 BEACH ST","1201-1301 BEACH ST, Beach & Columbia;1201-33 N DELAWARE AVE, 1227-37 BEACH ST, 1301 BEACH ST",8.52023264,PLAYGROUND_SITE,MISC_PARK,9,2,1,26,Y,Y,N,,58758.16015625,1283.97935287583
132,Wingohocking Park,Wingohocking Park,N,,Wingohocking, ,1369,1200 W WINGOHOCKING ST,19140,4101 OLD YORK RD,4101 OLD YORK RD,8.34381239,PLAYGROUND_SITE,MISC_PARK,4,3,8,35,Y,Y,N,,57644.4140625,1312.97749943867
133,W Freeland Kendrick Recreation Center,W Freeland Kendrick Recreation Center,N,W. Freeland Kendrick Recreation Center,Kendrick,,1885,5878 RIDGE AVE,19128,5822-24 RIDGE AVE,"5822-24 RIDGE AVE, Ridge & Pensdale",8.01513139,RECREATION_CENTER,RECREATION_SITE,3,4,4,5,Y,Y,Y,,55387.25390625,931.283098565251
134,Fanny Kemble Abolitionist Memorial Park,Fanny Kemble Abolitionist Memorial Park,N,Fanny Kemble Abolitionist Memorial Park,Kemble,,731,5641 OGONTZ AVE,19141,"1649 W OLNEY AVE, 5625, 5631-37, 5641-81, 5689, 5699 OGONTZ AVE, 5650 N 16TH ST","16th & Chew;1649 W OLNEY AVE, 5625, 5631-37, 5641-81, 5689, 5699 OGONTZ AVE, 5650 N 16TH ST",8.000155,PLAYGROUND_SITE,MISC_PARK,4,4,8,35,Y,Y,N,,55301.83984375,1088.01019856879
135,Bridesburg Recreation Center,Bridesburg Recreation Center,N,Bridesburg Recreation Center,Bridesburg,,1822,4625 RICHMOND ST,19137,4625 RICHMOND ST,"4649 RICHMOND ST, Richmond & Ash, 4601 RICHMOND ST",7.98273891,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,,55115.48046875,938.23851597021
136,Bradford Park,Bradford Park,N,,Bradford,Rhawnhurst,236,2400 FAUNCE ST,19152,2400 FAUNCE ST,"Faunce & Bradford, Calvert & Shelmire",8.51281098,NEIGHBORHOOD_PARK,MISC_PARK,1,1,6,2,Y,Y,N,Named for William Bradford in 1982.,58863.20703125,995.670353957161
137,Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,1836,250 S 63RD ST,19139,12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",6.76257694,RECREATION_CENTER,RECREATION_SITE,10,8,3,18,Y,Y,Y,,46635.21875,1396.18932232148
138,Ralph Brooks Park,Ralph Brooks Park,N,Ralph Brooks Park,Brooks,,1360,1601 S 20TH ST,19145,1601-13 S 20TH ST,1601-13 S 20TH ST,0.2854354,PLAYGROUND_SITE,MISC_PARK,11,7,2,17,Y,Y,N,,1966.82421875,189.850115349697
139,Francis J Myers Recreation Center,Francis J Myers Recreation Center,N,Francis J. Myers Recreation Center,FJ Myers,,1858,5800 CHESTER AVE,19143,5800 CHESTER AVE,"58th & Kingsessing;5801 KINGSESSING AVE",7.62504584,RECREATION_CENTER,RECREATION_SITE,10,8,2,12,Y,Y,Y,Rebuild Renovations stated in 2024,52546.12109375,935.559657267645
140,Somerton Woods,Somerton Woods,N,,Somerton Woods,Stevens & Welton Neighborhood Park,44,900 WELTON ST,19116,900 WELTON ST,"Stevens Rd & Welton Rd;11730 STEVENS RD;11030 STEVENS RD",7.59133886,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,Y,Y,N,,52592.68359375,958.413270653473
141,Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith,Wilson Park,502,2200 S 24TH ST,19145,"2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.5907246,RECREATION_CENTER,RECREATION_SITE,11,7,2,1,Y,Y,Y,,52295.59765625,997.532840718843
142,Rittenhouse Square,Rittenhouse Square,N,Rittenhouse Square,Rittenhouse, ,977,1800 WALNUT ST,19103,1800 WALNUT ST,18th & Walnut,7.31387262,NEIGHBORHOOD_PARK,SQUARE_PLAZA,11,5,5,9,Y,Y,N,,50423.83984375,870.116925675686
143,Samuel Rose Recreation Center,Cobbs Creek Park,Y,Samuel Rose Recreation Center,Rose,Overbrook Park,1944,1225 N 75TH ST,19151,N/A,"7500 LANSDOWNE AVE;75th & Lansdowne;7401 LANSDOWNE AVE;1300 N 75th St",7.36635958,EVENT_VENUE,RECREATION_SITE,7,8,4,19,Y,Y,N,,50821.16015625,932.258064332652
144,Loudoun Park,Loudoun Park,N,,Loudoun, ,1180,4650 GERMANTOWN AVE,19144,4650 GERMANTOWN AVE,Germantown & Apsley,7.66799045,NEIGHBORHOOD_PARK,MISC_PARK,4,4,8,39,Y,Y,N,portion of park leased to mansion.,52983.47265625,1197.59608983187
145,Clearview Park,Clearview Park,N,,Clearview, ,500,7600 BUIST AVE,19153,"7600 BUIST AVE, 7615-21 CHELWYNDE AVE, 7631 CHELWYNDE AVE, 2545 S 77TH ST, 2522 S 76TH ST","77th & Buist;7615-21 CHELWYNDE AVE, 7631 CHELWYNDE AVE, 2545 S 77TH ST, 2522 S 76TH ST",5.58651071,NEIGHBORHOOD_PARK,MISC_PARK,10,8,2,12,Y,Y,N,,38468.4609375,1557.80121425819
146,Elmwood Park,Elmwood Park,N,,Elmwood, ,2907,7101 DICKS AVE,19142,7101 DICKS AVE,71st & Buist,7.23458398,NEIGHBORHOOD_PARK,SQUARE_PLAZA,10,8,2,12,Y,Y,N,,49824.9765625,851.182883615872
147,Harry S McDevitt Playground,Harry S McDevitt Playground,N,Harry S. McDevitt Playground,McDevitt,,1906,3580 SCOTTS LN,19129,3500 CRAWFORD ST,"3186 SCOTTS LN;3501 SCOTTS LN;3531 SCOTTS LN;3500 CRAWFORD ST",6.25335398,RECREATION_CENTER,RECREATION_SITE,3,4,4,39,Y,Y,Y,,43187.4765625,914.137317265324
148,Washington Square,Washington Square,N,Washington Square,Washington, ,16,600 WALNUT ST,19106,600 WALNUT ST,"6th & Walnut; 650 WALNUT ST",7.1882027,EVENT_VENUE,SQUARE_PLAZA,12,5,1,9,Y,Y,N,,49553.83984375,981.06083741263
149,Charles J Ziehler Playground,Charles J Ziehler Playground,N,Charles J. Ziehler Playground,Ziehler,,1976,5530 B ST,19120,200-64 E OLNEY AVE,"200-64 E OLNEY AVE;B & Olney",7.10839101,RECREATION_CENTER,RECREATION_SITE,5,3,9,35,Y,Y,Y,Site Renovations started in 2023.,49129.02734375,884.925177974694
150,Franklin Square,Franklin Square,N,Franklin Square,Franklin, ,53,200 N 06TH ST,19106,"200 N 06TH ST, 711 RACE ST","6th & Race;711 RACE ST;500 Vine St",7.16492352,EVENT_VENUE,SQUARE_PLAZA,9,5,1,9,Y,Y,N,,49405.890625,1024.69413223215
151,Thomas Mitchell Playground,Thomas Mitchell Playground,N,Thomas Mitchell Playground,Mitchell,,1912,3694 CHESTERFIELD RD,19114,3694 CHESTERFIELD RD,"3600 WHITEHALL LN;3700 WHITEHALL LN;Morrel & Crown",6.84147744,RECREATION_CENTER,RECREATION_SITE,2,1,10,8,Y,Y,Y,Site Renovated in 2022-2023.,47331.0625,980.576783093238
152,Gilbert Stuart Park,Gilbert Stuart Park,N,,Stuart, ,843,5132 GERMANTOWN AVE,19144,5132 GERMANTOWN AVE,,0.28774015,NEIGHBORHOOD_PARK,SQUARE_PLAZA,4,4,8,39,Y,Y,N,,1988.48828125,176.376338050722
153,Charles M Finley Playground,Charles M Finley Playground,N,Charles M. Finley Playground,Finley,Whitehall Commons,1989,1006 E HORTTER ST,19150,7701 MANSFIELD AVE,"7701 MANSFIELD AVE;Upsal & Mansfield;1001 E UPSAL ST;1037 E UPSAL ST",6.64473217,RECREATION_CENTER,RECREATION_SITE,3,4,9,14,Y,Y,Y,,45965.91015625,875.483904592075
154,Von Colln Field,Benjamin Franklin Parkway,Y,,Von Colln, ,1232,2250 PENNSYLVANIA AVE,19130,N/A,"2200-2268 PENNSYLVANIA AVE;23rd & Pennsylvania",6.56999502,RECREATION_CENTER,ATHLETIC_OTHER,9,5,5,9,N,Y,N,,45312.8359375,897.610215712313
155,Norris Square,Norris Square,N,Norris Square,Norris, ,2905,2100 N HOWARD ST,19122,2100 N HOWARD ST,"2100-60 N HOWARD ST, Diamond & Hancock",6.40064101,PLAYGROUND_SITE,SQUARE_PLAZA,8,6,7,26,Y,Y,N,Site Renovations started in 2022,44170.71484375,823.895799898487
156,Tomlinson and Gifford Playground,Tomlinson and Gifford Playground,N,Tomlinson and Gifford Playground,Tomlinson and Gifford,,1863,487 TOMLINSON RD,19116,575 TOMLINSON RD,575 TOMLINSON RD,6.4000252,RECREATION_CENTER,RECREATION_SITE,1,1,10,7,Y,Y,Y,,44338.5703125,851.561635365206
157,McPherson Square,McPherson Square,N,,McPherson, ,576,601 E INDIANA AVE,19134,601 E INDIANA AVE,Kensington & Indiana,6.39110448,PLAYGROUND_SITE,SQUARE_PLAZA,5,3,7,24,Y,Y,Y,,44120.58984375,833.075626098038
158,Morris Estate Cultural Center,Morris Estate Cultural Center,N,Morris Estate Cultural Center,Morris Estate,,1914,1610 CHELTEN AVE,19141,"1610 CHELTEN AVE, 1700 CHELTEN AVE","1700 CHELTEN AVE;1600 CHELTEN AVE",6.38125279,RECREATION_CENTER,RECREATION_SITE,4,4,8,35,Y,Y,Y,"Portion of land (ball diamond) is currently owned by School District (2020), rest is City owned.",44124.65234375,922.500304757223
159,Sergeant John J McVeigh Recreation Center,Sergeant John J McVeigh Recreation Center,N,Sergeant John J. McVeigh Recreation Center,McVeigh,John J. McKinley Playground,1908,3390 D ST,19134,400-64 E ONTARIO ST,400-64 E ONTARIO ST,6.32015353,RECREATION_CENTER,RECREATION_SITE,5,3,7,25,Y,Y,Y,,43637.40234375,828.893333754658
160,Malcolm X Memorial Park,Malcolm X Memorial Park,N,Malcolm X Memorial Park,Malcolm X,Black Oak Park,182,5100 PINE ST,19143,5100 PINE ST,51st & Pine,6.29779613,PLAYGROUND_SITE,SQUARE_PLAZA,10,8,3,18,Y,Y,N,,43422.74609375,826.45623070636
161,Robert T Heitzman Recreation Center,Robert T Heitzman Recreation Center,N,Robert T. Heitzman Recreation Center,Heitzman,Knight Playground,1870,3645 AMBER ST,19134,2136 CASTOR AVE,"Castor & Amber;3631 AMBER ST;2136 CASTOR AVE",2.90762604,RECREATION_CENTER,RECREATION_SITE,6,2,6,24,Y,Y,Y,Site Renovated in 2022-2023.,20074.34765625,577.61735027239
162,Joseph A Scanlon Playground,Joseph A Scanlon Playground,N,Joseph A. Scanlon Playground,Scanlon,"Webster Playground, Scanlon Ice Rink",1950,1099 E TIOGA ST,19134,1099 E TIOGA ST,"1099 E TIOGA ST, Tioga & J",6.20991504,RECREATION_CENTER,RECREATION_SITE,5,3,7,24,Y,Y,Y,,42877.921875,908.627276361371
163,Fairmount Water Works Historic Area,East Fairmount Park,Y,Fairmount Water Works Historic Area,Water Works, ,2880,650 WATER WORKS DR,19130,2500 SPRING GARDEN ST,"2500 SPRING GARDEN ST;620-690 AQUARIUM DR;630-690 WATER WORKS DR",5.38908855,EVENT_VENUE,HISTORIC_SITE,9,5,4,9,Y,Y,N,,37173.58984375,1347.41264770581
164,Frank McArdle Memorial Recreation Center,Frank McArdle Memorial Recreation Center,N,Frank McArdle Memorial Recreation Center,McArdle,,1991,2945 WELSH RD,19152,8930 ASHTON RD,"2933 WELSH RD;2801 WELSH RD;8930 ASHTON RD;2951 WELSH RD;Welsh & Tolbut",6.13680759,PLAYGROUND_SITE,RECREATION_SITE,2,1,6,8,Y,Y,N,,42447.34765625,1088.11904507079
165,Boniface Piccoli Playground,Boniface Piccoli Playground,N,Boniface Piccoli Playground,Piccoli,,1935,1500 E CAYUGA ST,19124,1501 E BRISTOL ST,"1501 E BRISTOL ST;O & Bristol",6.01259396,RECREATION_CENTER,RECREATION_SITE,5,3,7,24,Y,Y,Y,,41529.10546875,807.022372641094
166,Mayfair Recreation Center,Mayfair Recreation Center,N,Mayfair Recreation Center,Mayfair,Mayfair Community Center,1905,3000 SAINT VINCENT ST,19149,2901 PRINCETON AVE,"2901 PRINCETON AVE;3015 PRINCETON AVE;2990 SAINT VINCENT ST",6.52184663,RECREATION_CENTER,RECREATION_SITE,2,1,6,15,Y,Y,Y,One of the buildings and fields leased out to Mayfair Community Development Corporation,45081.53515625,989.56969684077
167,Cliveden Park,Cliveden Park,N,Cliveden Park,Cliveden, ,1106,501 E JOHNSON ST,19119,501 E JOHNSON ST,"6400 Chew Ave, Chew & Cliveden",5.95249698,PLAYGROUND_SITE,MISC_PARK,3,4,8,14,Y,Y,N,,41161.37109375,849.528773924998
168,Helen G Sturgis Playground,Helen G Sturgis Playground,N,Helen G. Sturgis Playground,Sturgis,,1960,6420 N 2ND ST,19126,200-20 W 65TH AVE,"200-20 W 65TH AVE;2nd & 65th;210 W 65TH AVE;6460 N 2ND ST",5.84218364,RECREATION_CENTER,RECREATION_SITE,5,3,9,35,Y,Y,Y,,40395.296875,800.524090395123
169,Jack Horgan Memorial Field at Old Line Park,Jack Horgan Memorial Field at Old Line Park,N,Jack Horgan Memorial Field at Old Line Park,Horgan,Old Line Park,2558,8730 OLD LINE RD,19128,8730 OLD LINE RD,,6.1468996,ATHLETIC_SITE,ATHLETIC_OTHER,3,4,4,5,Y,Y,N,,42525.67578125,884.778727724193
170,John L Barrett Playground,John L Barrett Playground,N,John L. Barrett Playground,Barrett,Lindley Playground,1814,700 W DUNCANNON AVE,19120,641 LINDLEY AVE,"8th & Lindley;641 LINDLEY AVE;5200 N FRANKLIN ST;715 W DUNCANNON AVE",5.77555582,RECREATION_CENTER,RECREATION_SITE,4,3,"8;9",35,Y,Y,Y,,39912.859375,900.034590358884
171,John J McCreesh Sr Playground,John J McCreesh Sr Playground,N,"John J. McCreesh, Sr. Playground",McCreesh,,508,6744 REGENT ST,19142,6744 REGENT ST,6600 REGENT ST,5.29777207,RECREATION_CENTER,RECREATION_SITE,10,8,2,12,Y,Y,Y,,36499.89453125,1000.84577385992
172,Parkside Evans Recreation Center,West Fairmount Park,Y,Parkside Evans Recreation Center,Parkside Evans,Philly Pumptrack,1930,5271 PARKSIDE AVE,19131,3401 W GIRARD AVE,"5300 PARKSIDE AVE;5301 PARKSIDE AVE;3401 W GIRARD AVE",6.30525786,RECREATION_CENTER,RECREATION_SITE,7,5,4,19,Y,Y,Y,,43518.79296875,1310.63420633081
173,West Oak Lane Senior Center,West Oak Lane Senior Center,N,West Oak Lane Senior Center,West Oak Ln Senior Center,West Oak Lane Older Adult Center,3477,7210 OGONTZ AVE,19138,7210-18 OGONTZ AVE,7210-18 OGONTZ AVE,0.2288807,OLDER_ADULT_CENTER,OLDER_ADULT_CENTER,4,4,9,14,Y,Y,Y,Privately Owned. Currently in review by PPR.,1583.2890625,159.240281495758
174,Ramonita Negron Rivera Recreation and Community Center,Ramonita Negron Rivera Recreation and Community Center,N,Ramonita Negron Rivera Recreation and Community Center,Rivera,"Mann Recreation Center;Westmoreland Square;Hersch Recreation Center",1941,3201 N 05TH ST,19140,3201 N 05TH ST,5th & Allegheny,4.25280314,RECREATION_CENTER,RECREATION_SITE,5,3,7,25,Y,Y,Y,Mann Older Adult Center is also located in the building on this site. 2024-Rebuild Renovations completed.,29364.0234375,704.606694328111
175,Franklin Delano Roosevelt Playground,Franklin Delano Roosevelt Playground,N,Franklin Delano Roosevelt Playground,Roosevelt,,1943,4300 HELLERMAN ST,19135,4301 LEVICK ST,"6455 WALKER ST, Levick & Walker;4301 LEVICK ST",5.45399635,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,"2020 Playground, Sprayground, Basketball Courts Renovations Completed.",37685.375,776.139428688373
176,A Albert Cherashore Playground,A Albert Cherashore Playground,N,A. Albert Cherashore Playground,Cherashore,,1828,900 W CHEW AVE,19141,851 W OLNEY AVE,"851-951 W OLNEY AVE;9th & Olney;960 CHEW AVE",5.24054709,RECREATION_CENTER,RECREATION_SITE,4,3,9,35,Y,Y,Y,,36223.6953125,770.965730452634
177,Barnes Foundation Museum,Benjamin Franklin Parkway,Y,The Barnes Foundation Museum,Barnes, ,2805,2051 BENJAMIN FRANKLIN PKY,19130,2025L BENJAMIN FRANKLIN PKWY,"2025L BEN FRANKLIN PKWY;2051 BENJAMIN FRANKLIN PKY;19th & Pkwy",5.3924238,EVENT_VENUE,MUSEUM,9,5,5,9,N,Y,N,,37188.25390625,820.028324995253
178,William T Granahan Playground,Cobbs Creek Park,Y,William T. Granahan Playground,Granahan,,1864,6532 CALLOWHILL ST,19151,"338-50 N 65TH ST, 6525-47 VINE ST","65th & Callowhill;338-50 N 65TH ST, 6525-47 VINE ST",5.30859667,RECREATION_CENTER,RECREATION_SITE,7,8,4,19,Y,Y,Y,,36619.69140625,1032.55369891358
179,George Connell Park,George Connell Park,N,George Connell Park,Connell, ,955,6401 ELMWOOD AVE,19142,6401 ELMWOOD AVE,64th & Elmwood,5.32084152,RECREATION_CENTER,MISC_PARK,10,8,2,12,Y,Y,Y,,36655.1015625,762.551852055596
180,Mummers Museum,Mummers Museum,N,,Mummers, ,3478,200 WASHINGTON AVE,19147,"200-10 WASHINGTON AVE, 212-22 WASHINGTON AVE","200-10 WASHINGTON AVE;212-22 WASHINGTON AVE;1100 S 2nd St",0.24996743,EVENT_VENUE,MUSEUM,12,7,1,3,Y,Y,N,,1722.53515625,174.472912405944
181,West Mill Creek Playground,West Mill Creek Playground,N,West Mill Creek Playground,West Mill Creek,,1970,5100 WESTMINSTER AVE,19139,"525-53 N 52ND ST,5127-41&5100 WESTMINSTER AVE,868-76 N 51ST ST,5101-07&5100 PARRISH ST,5100-10&5072 OGDEN ST,5101&5046-64 RENO ST,5041-69 FUNSTON ST","51st & Reno;525-53 N 52ND ST,5127-41&5100 WESTMINSTER AVE,868-76 N 51ST ST,5101-07&5100 PARRISH ST,5100-10&5072 OGDEN ST,5101&5046-64 RENO ST,5041-69 FUNSTON ST",5.26909751,RECREATION_CENTER,RECREATION_SITE,7,8,3,16,Y,Y,Y,,36346.2734375,1714.43474066547
182,Lonnie Young Recreation Center of East Germantown,Lonnie Young Recreation Center of East Germantown,N,The Lonnie Young Recreation Center of East Germantown,Young,East Germantown Recreation Center,1897,1100 E CHELTEN AVE,19138,1100 E CHELTEN AVE,"Ardleigh St & E Chelten Ave;5650 ANDERSON ST",5.2289743,RECREATION_CENTER,RECREATION_SITE,4,4,8,14,Y,Y,Y,,36156.4296875,787.063397056395
183,Carousel House Recreation Center,West Fairmount Park,Y,Carousel House Recreation Center,Carousel,Recreation District HQ,1824,4300 AVENUE OF THE REPUBLIC,19131,,"1601 BELMONT AVE;1701 Belmont Ave;1701-15 BELMONT AVE",5.24413526,RECREATION_CENTER,RECREATION_SITE,7,5,4,16,Y,Y,Y,Dept of Rec created in 1987 according to signage,36185.8671875,801.625192446262
184,Eileen Fitzpatrick Playground,Eileen Fitzpatrick Playground,N,Eileen Fitzpatrick Playground,Fitzpatrick,Decatur School Playground,1983,12485 ACADEMY RD,19154,3500 ACADEMY RD,"3500 ACADEMY RD;12501 TORREY RD;Academy & Torrey",4.94086562,RECREATION_CENTER,RECREATION_SITE,2,1,10,8,Y,Y,Y,Land is owned by School District-PPR leases. Part of the Decatur School Property.,34210.4921875,762.548454057908
185,11th and Cecil B Moore Playground,11th and Cecil B Moore Playground,N,,11th and CB Moore,11th & Columbia,1135,1737 N 11TH ST,19122,1001-33 CECIL B MOORE AVE,"1001-33 CECIL B MOORE AVE;1701 N 11TH ST",5.18166632,ATHLETIC_SITE,ATHLETIC_OTHER,9,6,5,22,Y,Y,N,,35754.375,755.891228616249
