u,v,key,osmid,oneway,name,highway,reversed,length,lanes,maxspeed,service,ref,bridge,access,tunnel,width,junction,betweenness,closeness,degree,closeness_800,betweenness_800,geometry_wkt
109726936,109726940,0,12108955,True,Brunner Street,residential,False,174.382,,,,,,,,,,0.011511396603777762,0.00011335141867476092,5.0,0.0017425414454864134,0.17579040971898113,"LINESTRING (486737.083878 4429836.426018, 486587.330198 4429746.719412)"
109726936,109992543,0,43226669,False,Germantown Avenue,primary,False,55.074,2,25 mph,disused_tram,,,,,,,0.022794212318995866,0.00011358335736584381,5.0,0.001708336696832459,0.32351706025029686,"LINESTRING (486737.083878 4429836.426018, 486713.874078 4429886.301493)"
109726936,109992535,0,43226669,False,Germantown Avenue,primary,True,7.178,2,25 mph,disused_tram,,,,,,,0.02279808085852884,0.00011369299484326745,5.0,0.0016661091927847112,0.2682201819335216,"LINESTRING (486737.083878 4429836.426018, 486740.230104 4429829.983054)"
109726940,109726950,0,302956448,False,Wayne Avenue,residential,False,11.448,,,,,,,,,,0.00030429041689902325,0.00011308864916833249,5.0,0.001784057292479424,0.07123947789835641,"LINESTRING (486587.330198 4429746.719412, 486593.192657 4429736.897471)"
109726940,110047495,0,302956448,False,Wayne Avenue,residential,True,34.627,,,,,,,,,,0.0002365981805470778,0.0001128989060341652,5.0,0.0018003065529811693,0.06847216799895892,"LINESTRING (486587.330198 4429746.719412, 486569.598271 4429776.4297)"
109726950,109726961,0,12108958,True,Brunner Street,residential,False,144.295,,,,,,,,,,0.004088945409703236,0.00011314041753550985,5.0,0.0017274179011296923,0.11871172787060638,"LINESTRING (486593.192657 4429736.897471, 486468.563166 4429663.864187)"
109726950,110204478,0,302956448,False,Wayne Avenue,residential,False,50.967,,,,,,,,,,0.0004065184955179303,0.00011337127767052464,5.0,0.0017560584690363343,0.0839364521778995,"LINESTRING (486593.192657 4429736.897471, 486619.288847 4429693.165457)"
109726950,109726940,0,302956448,False,Wayne Avenue,residential,True,11.448,,,,,,,,,,0.00030429041689902325,0.00011308864916833249,5.0,0.001784057292479424,0.07123947789835641,"LINESTRING (486593.192657 4429736.897471, 486587.330198 4429746.719412)"
109726961,110211923,0,43226676,False,Clarissa Street,secondary,True,51.828,,,,,,,,,,0.007906877688452838,0.00011337192393594175,5.0,0.0016661000580598059,0.1642296049176783,"LINESTRING (486468.563166 4429663.864187, 486495.878769 4429619.863205)"
109726961,110047502,0,43226676,False,Clarissa Street,secondary,False,44.807,,,,,,,,,,0.007753596416758854,0.00011295250827626506,5.0,0.0017223569642054706,0.16338043598913163,"LINESTRING (486468.563166 4429663.864187, 486456.54842 4429683.564277, 486445.248478 4429702.086608)"
109726983,109727044,0,12108968,False,Park Lane,residential,False,340.57,2,25 mph,,,,,,,,0.009101497427429217,9.162120841514545e-05,6.0,0.0021229497415298053,0.2588796882389319,"LINESTRING (483628.224887 4431583.27267, 483622.210028 4431579.323234, 483613.920677 4431573.036786, 483600.351857 4431563.587382, 483572.465266 4431545.589295, 483565.955891 4431541.818559, 483540.475052 4431527.733387, 483420.476393 4431465.716903, 483410.960176 4431460.354582, 483401.972824 4431454.946721, 483389.652989 4431447.23753, 483375.742123 4431437.667183, 483367.588535 4431431.20312, 483360.662649 4431424.336808, 483353.657265 4431416.238671, 483342.457635 4431401.945307)"
109726983,110294253,0,1423600168,False,Wissahickon Avenue,tertiary,False,105.38000000000001,2,30 mph,,,,,,,,0.002099716282015187,9.202347615353473e-05,5.5,0.0018040565313021135,0.2110969387755102,"LINESTRING (483628.224887 4431583.27267, 483620.991884 4431592.078783, 483610.175366 4431604.744037, 483590.754077 4431627.017548, 483575.255476 4431644.421202, 483565.135677 4431655.686522, 483558.905489 4431662.61477)"
109726983,110172332,0,1423600616,False,Wissahickon Avenue,tertiary,True,99.563,2,30 mph,,,,,,,,0.002223182098256453,9.279792263225484e-05,6.0,0.0018674321532452436,0.19005102040816324,"LINESTRING (483628.224887 4431583.27267, 483637.118914 4431573.219883, 483649.503999 4431559.918643, 483691.712218 4431512.934044, 483694.921056 4431509.364332)"
109727044,109726983,0,12108968,False,Park Lane,residential,True,340.57,2,25 mph,,,,,,,,0.009101497427429217,9.162120841514545e-05,6.0,0.0021229497415298053,0.2588796882389319,"LINESTRING (483342.457635 4431401.945307, 483353.657265 4431416.238671, 483360.662649 4431424.336808, 483367.588535 4431431.20312, 483375.742123 4431437.667183, 483389.652989 4431447.23753, 483401.972824 4431454.946721, 483410.960176 4431460.354582, 483420.476393 4431465.716903, 483540.475052 4431527.733387, 483565.955891 4431541.818559, 483572.465266 4431545.589295, 483600.351857 4431563.587382, 483613.920677 4431573.036786, 483622.210028 4431579.323234, 483628.224887 4431583.27267)"
109727044,634070341,0,"[1173737809, 1173737810, 1315095231]",False,West Walnut Lane,tertiary,False,139.882,3,30 mph,,,,,,,,0.01604925512280059,9.050999221518215e-05,5.0,0.0024911464925537357,0.34714705163590365,"LINESTRING (483342.457635 4431401.945307, 483323.117658 4431410.611761, 483267.552996 4431435.618189, 483214.656271 4431459.309433)"
109727044,109881149,0,"[1173737810, 368075094]",False,West Walnut Lane,tertiary,True,112.037,3,30 mph,,,,,,,,0.016099065771721037,9.116615827224325e-05,6.0,0.002357470950554291,0.35249554367201424,"LINESTRING (483342.457635 4431401.945307, 483377.480655 4431386.052337, 483444.654834 4431355.638333)"
109727072,110024283,0,12202496,True,Porter Street,residential,False,65.552,,,,,,,,,,0.0014361896973586763,8.190180559651257e-05,3.5,0.0014114569508873786,0.10476447124576549,"LINESTRING (484928.037999 4418905.656773, 484992.820614 4418894.818624)"
109727084,109727072,0,12108970,True,South Colorado Street,residential,False,139.655,,,,,,,,,,0.0007699658631809333,8.145039701873904e-05,3.0,0.0013254024878907094,0.04653349001175088,"LINESTRING (484904.324674 4418768.276822, 484928.037999 4418905.656773)"
