X,Y,T
-75.22630137295494,39.97070529096417,0.0
-75.17527853099823,39.9350802608146,0.051692370532740936
-75.15517436871338,39.93612082636409,0.0680526108035128
-75.14259128311677,39.976783898271556,0.1443113848160857
-75.05055493465431,40.02320739535118,0.2343383550648877
-75.16823215871494,39.969557831061316,0.23668357489228328
-75.14384521060047,39.984684009700565,0.36541047983313496
-75.24486488230559,39.980690612592646,0.3755096433991958
-75.08202906494964,40.005974926331454,0.40688525973165585
-75.20202251024286,40.00748314021935,0.4300225457290879
-75.13328379857394,39.98022330104856,0.4481033651956866
-75.1613086725583,39.92412283298282,0.5458229487977105
-75.17762358010239,39.9802501549932,0.582330562773504
-75.11735514258834,39.981482856291834,0.6558426999623911
-75.19282798850905,39.933629137921315,0.6935152715946312
-75.17609954800082,40.041159196595444,0.7268090321481047
-75.20202251024286,40.00748314021935,0.7532250600690696
-75.17827691035089,39.94872580465291,0.7569537318440552
-75.19233638974629,39.93882984012599,0.8120828259933799
-75.23261851287683,39.94332484847105,0.8719903295715894
-75.17291061493226,40.0551965722179,0.8942107653594067
-75.06485463542333,40.013461120499095,0.922139789835709
-75.15443528869613,39.91664937491749,0.9362358198142088
-75.13203894546275,39.97039748574306,0.9698957970343118
-75.24148961237613,39.95377320941112,0.9829185069776337
-75.18226630707052,39.994794995906986,1.0167390610462872
-75.15199530141238,40.01777306501069,1.0191283329639844
-75.10155139495001,40.00742457401504,1.0307184664139233
-75.1430216421214,40.01220979326726,1.0445998555486813
-75.11276831412953,39.998344361119436,1.0584570123079688
-75.11893438512826,40.04102104095002,1.0613636520418022
-75.13568831903626,40.00093389425174,1.0658286335298126
-75.16151666956955,39.99255185292787,1.0668926629568178
-75.13272774906883,39.99417539699368,1.069965998881249
-75.13974250379052,40.06070300798356,1.0926456079000053
-75.1169451414374,39.97824002195072,1.1061284605575483
-75.17401232935909,39.9381846405778,1.1269688496743966
-75.2271424102328,39.963556052156115,1.1295456253248046
-75.17339046714211,40.03677289771099,1.1408744476248749
-75.1589958552156,39.97010636831013,1.1605797805132458
-75.16647328538828,39.99156134603051,1.1699059908874962
-75.24714212430976,39.89189584602371,1.1724375247795114
-75.1774418535005,40.026770491406474,1.1800091693628256
-75.2357879525561,39.928501508840334,1.1801058224725423
