GEOID,reporting_rate
421010001011,0.0003738666474132038
421010001012,0.00041060221198852703
421010001013,0.0
421010001014,0.002271581456799649
421010001015,0.001997999537289059
421010001021,0.004009313162040448
421010001022,0.0003872219018337741
421010001023,0.00228263164378878
421010001024,0.0017226024077470928
421010001025,0.0017974463022415689
421010002001,0.0030937134488835637
421010002002,0.0003792063341039688
421010002003,0.0005775412637554066
421010002004,0.00013520781000227495
421010003001,0.0018504392731337007
421010003002,0.0021409238883443394
421010003003,0.00037835064625309456
421010003004,0.0006046772468526637
421010003005,0.0017708387558373665
421010004011,0.0007571045762104871
421010004012,0.0017110465989682287
421010004013,0.0010905103047677295
421010004031,0.0029532743426170056
421010004032,0.0005149322129610062
421010004041,0.00048732971780375843
421010004042,0.001102737509361965
421010004043,0.0005224094984385122
421010005001,0.0008234191321788236
421010005002,0.2317315760801437
421010005003,0.000779389503426034
421010005004,0.0002631331391188313
421010006001,0.0012238783758923598
421010006002,0.00018878149686234845
421010007011,0.0010888769155278427
421010007012,0.0016720156794463726
421010007013,0.000999818634811107
421010007021,0.0038733169973444352
421010007022,0.0028589227738823816
421010008011,0.005886539683051382
421010008012,0.0028919619820622763
421010008031,0.0057385662951546035
421010008032,0.005590290548646376
421010008033,0.000879757315447549
421010008034,0.0011626311212663473
421010008051,0.0020984837261330764
421010008052,0.001469992983925013
421010008061,0.0012920874426409516
421010008062,0.0023912294938672057
421010009011,0.00442463579477251
421010009012,0.0015134698820321215
421010009021,0.0014627795020298584
421010009022,0.0011044637130531916
421010010011,0.010487671160869126
421010010012,6.605703381476365e-05
421010010013,0.0013790149806732033
421010010021,0.0013389780883604726
421010010022,0.008130963066207307
421010010023,0.000141866346336572
421010010024,0.0024231831692874935
421010011011,0.002493268262306768
421010011012,0.0038904872550652716
421010011013,0.008927411704585431
421010011014,0.005498093152177332
421010011021,0.0033881018713969326
421010011022,0.0013123833246299773
421010011023,0.003779847436711277
421010012011,0.007662264092194103
421010012012,0.006074102825752047
421010012013,0.00514373044810961
421010012014,0.007170621999870789
421010012031,0.0033324582212311375
421010012032,0.004650743065608199
421010012041,0.004435946327185278
421010012042,0.006597663449500234
421010012043,0.0025828812349475263
421010013011,0.009041950566686734
421010013012,0.011977046150876608
421010013021,0.0068737943832165435
421010013022,0.011772106512889784
421010013023,0.023300446157096418
421010013024,0.0038226879781441433
421010014001,0.008794404755914031
421010014002,0.01369056690524614
421010014003,0.006038652258653158
421010015001,0.017030748750482338
421010015002,0.005142366633052684
421010016001,0.006855561557926371
421010016002,0.006555244667147211
421010017001,0.0061884593837458444
421010017002,0.007318731176387121
421010018001,0.004660697123142715
421010018002,0.0025720019129680557
421010019001,0.013465400496316378
421010019002,0.008042125785051334
421010019003,0.004443285262961754
421010020001,0.009833673588040812
421010020002,0.007717834665843713
421010021001,0.003939206870157125
421010021002,0.005170860919392993
421010022001,0.002690605634434571
421010022002,0.005963466309009511
421010022003,0.008434991051203643
421010023001,0.002799930451512747
421010023002,0.0033145335243087107
421010024001,0.00910839363090785
421010024002,0.0054613350177291145
421010024003,0.0037668528082400368
421010024004,0.004528587334604197
421010024005,0.0024828351784638297
421010025001,0.0067101274009803875
421010025002,0.004744917593717437
421010025003,0.0073287033852711255
421010025004,0.003584303006291254
421010027011,0.008656483879495957
421010027012,0.0056708356265262536
421010027021,0.005698938027783937
421010027022,0.005355128547456529
421010028011,0.006559389398262111
421010028012,0.010611374139575164
421010028021,0.004255647211894172
421010028022,0.00300565827883512
421010028023,0.0050338847464671856
421010029001,0.003317501394774835
421010029002,0.002073631023950926
421010029003,0.0038315624116292014
421010030011,0.004526055617206697
421010030012,0.006431892935833145
421010030013,0.006234336413863261
421010030014,0.009627349061687118
421010030015,0.005996458344465539
421010030021,0.011005730811173148
421010030022,0.011195790436526699
421010030023,0.028397337645908426
421010030024,0.005878363260626818
421010031001,0.01024904539172046
421010031002,0.014702784992683602
421010031003,0.012172574154697096
421010031004,0.009276073500867144
421010031005,0.010869096793405187
421010031006,0.006882018688323077
421010032001,0.008941203131639756
421010032002,0.020951895856737443
421010032003,0.007912199331191718
421010032004,0.012383638889462147
421010032005,0.006247040001175301
421010032006,0.009084431619609645
421010033001,0.0063953094244379475
421010033002,0.004915679251106699
421010033003,0.013172036189957442
421010033004,0.0024150818741009083
421010033005,0.008723246886808393
421010033006,0.015113323252348793
421010036001,0.005503504250680157
421010036002,0.00844942551003227
421010036003,0.0015723745136126486
421010036004,0.0052258095063383555
421010037011,0.008816481104244954
421010037012,0.0038995123003848554
421010037013,0.011105958856387668
421010037014,0.008014498257446125
421010037015,0.007793655020563835
421010037021,0.006114340346970782
421010037022,0.004729132051421794
421010037023,0.009254292206990583
421010038001,0.004864335021178382
421010038002,0.005700885835879511
421010038003,0.004447061269942328
421010038004,0.00011228743493252467
421010038005,0.0013763406781931234
